Name,Corridor,Description,Kommune,Location,Price Range,Source,Type
Dyreparken Safarihotell,Kristiansand,Family hotel at Kristiansand Zoo. Themed rooms.,Kristiansand,Dyreparken Safarihotell,1500–3000 NOK/night,http://Hotels.com,Hotel
Yess! Hotel Kristiansand,Kristiansand,Budget option. Good reviews.,Kristiansand,Yess! Hotel,600–1000 NOK/night,TripAdvisor,Hotel
Scandic Kristiansand Bystranda,Kristiansand,Beachfront hotel by Bystranda city beach. Pet-friendly.,Kristiansand,Scandic Bystranda,1200–2200 NOK/night,TripAdvisor,Hotel
Citybox Kristiansand,Kristiansand,"Budget-friendly, modern self-service hotel. Central.",Kristiansand,Citybox Kristiansand,700–1200 NOK/night,http://Booking.com,Hotel
Comfort Hotel Kristiansand,Kristiansand,"Mid-range, central. Good for families.",Kristiansand,Comfort Hotel Kristiansand,900–1500 NOK/night,TripAdvisor,Hotel
Clarion Hotel Ernst,Kristiansand,Historic hotel in city centre. Near Ravnedalen.,Kristiansand,Clarion Hotel Ernst,1200–2000 NOK/night,TripAdvisor,Hotel
Radisson Blu Caledonien Hotel,Kristiansand,Top rated. Pet-friendly. Central waterfront location.,Kristiansand,Radisson Blu Caledonien,1500–2500 NOK/night,TripAdvisor / http://Hotels.com,Hotel
Valle Camping,Rv 9 Setesdal,By Rv9 in Valle centre. Views of Nomelands mountains.,Valle,Valle Camping,200–600 NOK/night,Visit Norway,Camping
Kallefoss Cabin Park,Rv 9 Setesdal,"7 refurbished cabins, 20m from river Otra. Quiet.",Valle,Kallefoss Hyttegrend,400–600 NOK/night,TripAdvisor,Cabin
Bykle Hotel,Rv 9 Setesdal,Hotel in Bykle centre.,Bykle,Bykle Hotell,900–1500 NOK/night,Visit Sørlandet,Hotel
Revsnes Hotel,Rv 9 Setesdal,Year-round hotel on Byglandsfjorden. Restaurant.,Bygland,Revsnes Hotell,1000–1800 NOK/night,Visit Sørlandet,Hotel
Sølvgarden Hotel,Rv 9 Setesdal,Hotel in Rysstad with fine dining restaurant.,Valle,Sølvgarden Hotell,1200–2000 NOK/night,Visit Sørlandet,Hotel
Odden Camping,Rv 9 Setesdal,"Campsite in Evje, gateway to Setesdal.",Evje og Hornnes,Odden Camping,200–500 NOK/night,Camping Navigator,Camping
Bortelid Cabins,Rv 9 Setesdal,Cabin rental area. Many cabins available via http://bortelid.nu.,Åseral,Bortelid,600–1500 NOK/night,http://bortelid.nu,Cabin
Hornnes Camping,Rv 9 Setesdal,"Campsite near Hornnes, lower Setesdal.",Evje og Hornnes,Hornnes Camping,200–500 NOK/night,Camping Navigator,Camping
Neset Camping,Rv 9 Setesdal,4-star campsite since 1965. 200 electric pitches + 31 cabins. Waterfront on Byglandsfjorden. Open year-round.,Bygland,Neset Camping,250–800 NOK/night,Visit Norway / http://neset.no,Camping
Hovdestøylen Hotel & Lodge,Rv 9 Setesdal,Mountain lodge in Hovden. Ski and hiking base.,Bykle,Hovdestøylen,1000–2000 NOK/night,http://Booking.com,Hotel
Grand Hotel Arendal,E18 East Coast,Historic grand hotel.,Arendal,Grand Hotel Arendal,1100–2000 NOK/night,http://Booking.com,Hotel
Home Hotel Grimstad,E18 East Coast,Family-friendly hotel in Grimstad.,Grimstad,Home Hotel Grimstad,900–1500 NOK/night,TripAdvisor,Hotel
Clarion Hotel Tyholmen,E18 East Coast,Waterfront hotel on Tyholmen. Charming area.,Arendal,Clarion Hotel Tyholmen,1200–2200 NOK/night,http://Booking.com,Hotel
Thon Hotel Arendal,E18 East Coast,Popular family hotel in Arendal centre.,Arendal,Thon Hotel Arendal,1000–1800 NOK/night,http://Booking.com,Hotel
Lillesand Hotel Norge,E18 East Coast,Hotel in charming Lillesand.,Lillesand,Lillesand Hotel Norge,1000–1600 NOK/night,http://Booking.com,Hotel
Scandic Sørlandet,E18 East Coast,Conference and family hotel near E18.,Kristiansand,Scandic Sørlandet,1000–1800 NOK/night,http://Hotels.com,Hotel
Clarion Collection Hotel Grimstad,E18 East Coast,Charming hotel in Grimstad centre.,Grimstad,Clarion Collection Hotel Grimstad,1000–1800 NOK/night,Agoda,Hotel
Kjøbmandsgaarden Hotel,E39 West Coast,Charming boutique hotel in Mandal. Pet-friendly.,Lindesnes,Kjøbmandsgaarden Hotel,1200–2000 NOK/night,Expedia,Hotel
Topcamp Sjøsanden,E39 West Coast,Beachfront camping in Mandal. Modern facilities.,Lindesnes,Topcamp Sjøsanden,300–800 NOK/night,http://Booking.com,Camping
